,date,stocks,ratio,tradevolume,agencyvolume,foreignvolume,foreignratio
503,2020-03-02,175000,1.74,793495,-7595,-51591,32.36
504,2020-03-03,175000,0.0,629017,-43828,-69635,32.28
505,2020-03-04,179500,2.57,709188,-25003,72673,32.37
506,2020-03-05,179500,0.0,821744,-71756,-197315,32.14
507,2020-03-06,175500,-2.23,568424,-76940,-2861,32.18
508,2020-03-09,167500,-4.56,805638,-18569,-112485,32.06
509,2020-03-10,173000,3.28,950875,200052,8543,32.05
510,2020-03-11,169000,-2.31,550227,-29361,-31640,32.01
511,2020-03-12,161000,-4.73,1218070,44366,-85004,31.86
512,2020-03-13,159000,-1.24,1601985,170824,-81706,31.76
513,2020-03-16,147500,-7.23,1252484,-12164,-317593,31.43
514,2020-03-17,147500,0.0,1221046,92817,-119021,31.2
515,2020-03-18,141000,-4.41,1107527,21487,-81527,31.2
516,2020-03-19,134000,-4.96,2157141,86451,-80827,31.16
517,2020-03-20,149500,11.57,1765756,45951,95514,31.28
518,2020-03-23,143500,-4.01,1569378,4696,-198812,31.07
519,2020-03-24,154500,7.67,1271387,61139,7249,31.16
520,2020-03-25,154500,0.0,1290376,-162414,-103292,31.01
521,2020-03-26,150500,-2.59,893688,-85998,-91800,30.87
522,2020-03-27,152500,1.33,958988,18466,-8534,30.97
523,2020-03-30,153000,0.33,668254,40188,-565,31.05
524,2020-03-31,155500,1.63,1042474,12388,-12565,31.07
525,2020-04-01,150500,-3.22,794295,-92002,-127995,30.67
526,2020-04-02,157000,4.32,1043790,147192,33489,30.71
527,2020-04-03,157500,0.32,545749,2654,-19342,30.7
528,2020-04-06,160500,1.9,807805,149408,-110736,30.57
529,2020-04-07,160000,-0.31,920798,62828,-204385,30.34
530,2020-04-08,158000,-1.25,738303,-27183,-108165,30.23
531,2020-04-09,158000,0.0,726920,-170075,85380,30.3
532,2020-04-10,161000,1.9,753323,-61539,95025,30.41
533,2020-04-13,157500,-2.17,470251,-55097,-57007,30.38
534,2020-04-14,159500,1.27,430759,38641,-2037,30.34
535,2020-04-16,165500,3.76,1005533,99844,36505,30.4
536,2020-04-17,172000,3.93,947794,17904,45592,30.33
537,2020-04-20,175000,1.74,859303,-48380,41765,30.4
538,2020-04-21,175500,0.29,1232126,47563,76588,30.5
539,2020-04-22,177000,0.85,686146,23997,-19191,30.34
540,2020-04-23,185500,4.8,1509799,109906,204019,30.57
541,2020-04-24,183000,-1.35,1073684,8127,-123303,30.55
542,2020-04-27,184000,0.55,721963,19641,-57779,30.51
543,2020-04-28,185000,0.54,668638,-71338,45988,30.63
544,2020-04-29,184000,-0.54,659512,-102982,-16250,30.63
545,2020-05-04,186500,1.36,1019409,-13003,117325,30.73
546,2020-05-06,199500,6.97,2035947,282346,109836,30.8
547,2020-05-07,206000,3.26,2629709,-74138,320991,31.13
548,2020-05-08,206000,0.0,1405404,-98764,147862,31.3
549,2020-05-11,207500,0.73,1048413,-117848,58911,31.32
550,2020-05-12,214500,3.37,1563095,-122679,176503,31.55
551,2020-05-13,216500,0.93,1113608,-127062,78110,31.62
552,2020-05-14,225000,3.93,1459813,-99849,120557,31.76
553,2020-05-15,221500,-1.56,1524083,-78834,-122244,31.61
554,2020-05-18,221000,-0.23,744533,-45382,-8291,31.61
555,2020-05-19,220000,-0.45,1308903,-179067,105302,31.79
556,2020-05-20,231500,5.23,1773960,130245,-11388,31.78
557,2020-05-21,237500,2.59,1408737,-87947,-113392,31.64
558,2020-05-22,247000,4.0,1887064,-148615,78120,31.73
559,2020-05-25,268000,8.5,2653776,-351982,5627,31.73
560,2020-05-26,270000,0.75,3274293,-381221,-13737,31.69
561,2020-05-27,260500,-3.52,2015974,-275948,-5524,31.62
562,2020-05-28,267000,2.5,2495048,-90385,22972,31.61
563,2020-05-29,263500,-1.31,1645822,-77608,-142796,31.45
564,2020-06-01,264000,0.19,1083698,-72648,-47383,31.39
565,2020-06-02,259500,-1.7,978846,-140150,-7980,31.38
566,2020-06-03,249500,-3.85,2302391,-473193,-21005,31.36
567,2020-06-04,254000,1.8,1228950,-56135,128221,31.5
568,2020-06-05,251000,-1.18,1007264,-32160,-102862,31.38
569,2020-06-08,256500,2.19,1417078,54389,2227,31.39
570,2020-06-09,254500,-0.78,834862,8047,-60477,31.32
571,2020-06-10,262000,2.95,1575452,320940,41440,33.23
572,2020-06-11,265000,1.15,1724551,316888,-140412,32.95
573,2020-06-12,266000,0.38,1688975,228514,-6695,32.95
574,2020-06-15,252500,-5.08,1549230,-28923,-36604,32.92
575,2020-06-16,263000,4.16,915456,60710,59930,32.99
576,2020-06-17,263000,0.0,1162204,-69567,9122,33.0
577,2020-06-18,263500,0.19,981144,24009,137573,33.16
578,2020-06-19,263500,0.0,920126,-62020,2340,33.18
579,2020-06-22,274000,3.98,2008656,16868,280690,33.53
580,2020-06-23,281500,2.74,2166267,-14832,-45650,33.47
581,2020-06-24,282500,0.36,1081233,-50514,-13356,33.45
582,2020-06-25,274500,-2.83,900258,-101875,-86886,33.27
583,2020-06-26,274500,0.0,812726,-22296,19584,33.3
584,2020-06-29,267500,-2.55,778818,-73700,61111,33.43
585,2020-06-30,267500,0.0,624089,5258,-15028,33.4
586,2020-07-01,269500,0.75,578023,-12765,67464,33.44
587,2020-07-02,285500,5.94,1378545,150671,232358,33.73
588,2020-07-03,294000,2.98,1604493,14799,122310,33.87
589,2020-07-06,300500,2.21,1344851,2288,-88023,33.74
590,2020-07-07,310500,3.33,1552820,-139603,193471,33.96
591,2020-07-08,328000,5.64,1869663,-95816,142348,34.13
592,2020-07-09,355500,8.38,2463503,-226899,-26845,34.08
593,2020-07-10,355500,0.0,2566935,-129520,-330240,33.77
594,2020-07-13,352000,-0.98,1391744,-11213,-152265,33.58
595,2020-07-14,343000,-2.56,1212519,-120931,-8193,33.58
596,2020-07-15,337500,-1.6,1487417,-103353,-64776,33.5
597,2020-07-16,322000,-4.59,1941508,-195682,27465,33.53
598,2020-07-17,325000,0.93,1268587,-35296,-63186,33.46
599,2020-07-20,310000,-4.62,1525824,-125201,-244154,33.18
